~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Street 45",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Tee",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Union",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Cap",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" Brass Plug",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x Closed Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 1-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 2-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 3"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 3-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 4"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 4-1/2"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 5"" Brass Nipple",,FALSE,~
~,~,~,~,~,~,~,~,~,~,~,~,~,~,SPECIFIC MATERIALS,NAME AND MODEL NUMBER OR DIMENSIONS,,FALSE,~,"1/2"" BRASS","1/2"" x 5-1/2"" Brass Nipple",,FALSE,~
