Item Name,Estimated Price,Result Type
EX-30 Expansion Tank,$113.52,Pricing Guts!A442
EX-60 Expansion Tank,$45.75,Estimated
Feeder Back Flow Combo,$78.50,Estimated
115V Low Water Cut Off,$25.00,Estimated
24V Low Water Cut Off,$4.75,Estimated
Mixing Valve,$8.75,Estimated
Water Heater Drain Pan,$6.84,Pricing Guts!A1312
"3/8"" Armaflex Insulation (6' Lengths)",$5.56,Pricing Guts!A1313
"5/8"" Armaflex Insulation (6' Lengths)",$7.52,Pricing Guts!A1314
"3/4"" Armaflex Insulation (6' Lengths)",$8.11,Pricing Guts!A1315
"7/8"" Armaflex Insulation (6' Lengths)",$9.70,Pricing Guts!A1316
"1-1/8"" Armaflex Insulation (6' Lengths)",$11.05,Pricing Guts!A1317
"1-1/2"" Armaflex Insulation (6' Lengths)",$9.24,Pricing Guts!A1318
"1-5/8"" Armaflex Insulation (6' Lengths)",$14.12,Pricing Guts!A1319
"2"" Armaflex Insulation (6' Lengths)",$45.75,Estimated
"5"" Pipe (Linear Feet)",$45.80,Estimated
"5"" Elbows",$12.45,Estimated
"5"" Sticky Collar (ATD)",$8.75,Estimated
"5"" Clinch Collar",$7.86,Pricing Guts!A432
"5"" Top Take Off",$13.20,Pricing Guts!A419
"5"" Saddle Collar",$41.46,Pricing Guts!A596
"5"" R-4 Flex",$62.08,Pricing Guts!A598
"5"" R-8 Flex",$7.86,Pricing Guts!A433
"5"" Oval Pipe (Linear Feet)",$7.86,Pricing Guts!A432
"5"" Oval to Round Straight",$7.86,Pricing Guts!A433
"5"" Oval to Round Vertical",$42.75,Estimated
"5"" Oval to Round Horizontal",$42.75,Estimated
"5"" Oval Vertical 90",$42.75,Estimated
"5"" Oval Horizontal 90",$7.86,Pricing Guts!A432
12x4x5 Straight Boot,$7.86,Pricing Guts!A433
12x4x5 90 Boot,$32.50,Estimated
12x4x5 Pencil Boot,$7.86,Pricing Guts!A432
12x6x5 Straight Boot,$7.86,Pricing Guts!A433
12x6x5 90 Boot,$8.75,Estimated
12x6x5 Pencil Boot,$3.75,Estimated
6x6x5 Top Tap,$2.50,Estimated
6x6x5 Side Tap,$12.75,Estimated
8x8x5 Top Tap,$12.40,Pricing Guts!A422
8x8x5 Side Tap,$46.85,Pricing Guts!A600
